Name	SDMetrics.com.sdmetrics.OpenCore	SDMetrics.com.sdmetrics.app.ConsoleMessageHandler	SDMetrics.com.sdmetrics.app.MessageHandler	SDMetrics.com.sdmetrics.app.MetricData.MetricDataTable	SDMetrics.com.sdmetrics.app.MetricData	SDMetrics.com.sdmetrics.app.ModelData.TableInfo	SDMetrics.com.sdmetrics.app.ModelData	SDMetrics.com.sdmetrics.app.Problem	SDMetrics.com.sdmetrics.app.RelationMatrices	SDMetrics.com.sdmetrics.app.RuleData	SDMetrics.com.sdmetrics.metrics.MetricsEngine.MetricValuesCache	SDMetrics.com.sdmetrics.metrics.MetricsEngine	SDMetrics.com.sdmetrics.metrics.SDMetricsException	SDMetrics.com.sdmetrics.metrics.Metric	SDMetrics.com.sdmetrics.metrics.MatrixEngine	SDMetrics.com.sdmetrics.metrics.MatrixData	SDMetrics.com.sdmetrics.metrics.RuleEngine	SDMetrics.com.sdmetrics.metrics.MetricStore.WordList	SDMetrics.com.sdmetrics.metrics.MetricStore.MetricParser	SDMetrics.com.sdmetrics.metrics.MetricStore	SDMetrics.com.sdmetrics.metrics.RuleFilter	SDMetrics.com.sdmetrics.metrics.RuleViolation	SDMetrics.com.sdmetrics.metrics.AbstractProcedure	SDMetrics.com.sdmetrics.metrics.ProcedureAttributes	SDMetrics.com.sdmetrics.metrics.Variables	SDMetrics.com.sdmetrics.metrics.FilterAttributeProcessor.FilteringIterator	SDMetrics.com.sdmetrics.metrics.FilterAttributeProcessor	SDMetrics.com.sdmetrics.metrics.ChangeDirectionsAdapter.T	SDMetrics.com.sdmetrics.metrics.ChangeDirectionsAdapter	SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents.T	SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents.Graph.T	SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents.NodeInfo	SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents	SDMetrics.com.sdmetrics.metrics.Description	SDMetrics.com.sdmetrics.metrics.ElementGraph	SDMetrics.com.sdmetrics.metrics.Glossary	SDMetrics.com.sdmetrics.metrics.MetricEntry	SDMetrics.com.sdmetrics.metrics.Matrix	SDMetrics.com.sdmetrics.metrics.Set	SDMetrics.com.sdmetrics.metrics.MetricProcedure	SDMetrics.com.sdmetrics.metrics.MetricProcedureAttributeValue	SDMetrics.com.sdmetrics.metrics.MetricProcedureCompare	SDMetrics.com.sdmetrics.metrics.MetricProcedureCompound	SDMetrics.com.sdmetrics.metrics.MetricProcedureConnectedComponents	SDMetrics.com.sdmetrics.metrics.MetricProcedureCount	SDMetrics.com.sdmetrics.metrics.MetricProcedureFilterValue	SDMetrics.com.sdmetrics.metrics.MetricProcedureNesting	SDMetrics.com.sdmetrics.metrics.MetricProcedureProjection	SDMetrics.com.sdmetrics.metrics.MetricProcedureSetOperation	SDMetrics.com.sdmetrics.metrics.MetricProcedureSignature	SDMetrics.com.sdmetrics.metrics.MetricProcedureSubelements	SDMetrics.com.sdmetrics.metrics.SummationHelper	SDMetrics.com.sdmetrics.metrics.MetricProcedureValuesetOperation	SDMetrics.com.sdmetrics.metrics.MetricProcedureCache	SDMetrics.com.sdmetrics.metrics.SetProcedureCache	SDMetrics.com.sdmetrics.metrics.RuleProcedureCache	SDMetrics.com.sdmetrics.metrics.Reference	SDMetrics.com.sdmetrics.metrics.Rule	SDMetrics.com.sdmetrics.metrics.ProcedureCache.T	SDMetrics.com.sdmetrics.metrics.ProcedureCache.ProcedureInfo	SDMetrics.com.sdmetrics.metrics.ProcedureCache	SDMetrics.com.sdmetrics.metrics.MetricTools	SDMetrics.com.sdmetrics.metrics.SetProcedure	SDMetrics.com.sdmetrics.metrics.RuleProcedure	SDMetrics.com.sdmetrics.metrics.RuleProcedureCycle	SDMetrics.com.sdmetrics.metrics.RuleProcedureSet	SDMetrics.com.sdmetrics.metrics.RuleProcedureViolation	SDMetrics.com.sdmetrics.metrics.SetProcedureCompare	SDMetrics.com.sdmetrics.metrics.SetProcedureCompound	SDMetrics.com.sdmetrics.metrics.SetProcedureProjection	SDMetrics.com.sdmetrics.metrics.SetProcedureSubelements	SDMetrics.com.sdmetrics.metrics.SetSummationHelper	SDMetrics.com.sdmetrics.model.MetaModelElement.MetaModelElementAttribute	SDMetrics.com.sdmetrics.model.MetaModelElement	SDMetrics.com.sdmetrics.model.ModelElement.ElementOrderComparator	SDMetrics.com.sdmetrics.model.ModelElement	SDMetrics.com.sdmetrics.model.Model	SDMetrics.com.sdmetrics.model.MetaModel.MetaModelParser	SDMetrics.com.sdmetrics.model.MetaModel	SDMetrics.com.sdmetrics.model.ElementFilters	SDMetrics.com.sdmetrics.model.XMIContextStack.Context	SDMetrics.com.sdmetrics.model.XMIContextStack	SDMetrics.com.sdmetrics.model.XMITransformation	SDMetrics.com.sdmetrics.model.XMITrigger	SDMetrics.com.sdmetrics.model.XMIReader.DeferredRelation	SDMetrics.com.sdmetrics.model.XMIReader	SDMetrics.com.sdmetrics.model.XMITransformations.XMITranformationsParser	SDMetrics.com.sdmetrics.model.XMITransformations	SDMetrics.com.sdmetrics.cmdline.CommandLineParser	SDMetrics.com.sdmetrics.cmdline.CommandLineProcessorOC.CmdLineMessageHandler	SDMetrics.com.sdmetrics.cmdline.CommandLineProcessorOC	SDMetrics.com.sdmetrics.output.ExportFormatter	SDMetrics.com.sdmetrics.output.DataExportConfiguration	SDMetrics.com.sdmetrics.output.CSVExporter	SDMetrics.com.sdmetrics.output.OverwriteConfirmation	SDMetrics.com.sdmetrics.output.DataExporter	SDMetrics.com.sdmetrics.output.ExportFormatterFactory	SDMetrics.com.sdmetrics.output.HTMLExporter	SDMetrics.com.sdmetrics.output.ODSExporter	SDMetrics.com.sdmetrics.output.SXCExporter	SDMetrics.com.sdmetrics.output.TextExporter	SDMetrics.com.sdmetrics.output.XMLSSExporter	SDMetrics.com.sdmetrics.math.ExpressionNode	SDMetrics.com.sdmetrics.math.ExpressionParser.ParserException	SDMetrics.com.sdmetrics.math.ExpressionParser	SDMetrics.com.sdmetrics.math.HashMultiSet.E	SDMetrics.com.sdmetrics.math.HashMultiSet.HashMultiSetIterator	SDMetrics.com.sdmetrics.math.HashMultiSet	SDMetrics.com.sdmetrics.math.IntegerMatrix	SDMetrics.com.sdmetrics.math.MappedCollectionsIterator.T	SDMetrics.com.sdmetrics.math.MappedCollectionsIterator	SDMetrics.com.sdmetrics.util.SAXHandler	SDMetrics.com.sdmetrics.util.VersionInfo	SDMetrics.com.sdmetrics.util.XMLParser
SDMetrics.com.sdmetrics.metrics.ChangeDirectionsAdapter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents.T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents.Graph.T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents.NodeInfo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.StronglyConnectedComponents	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.Description	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.ElementGraph	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.Glossary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricEntry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.Matrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.Set	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureAttributeValue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureCompare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureCompound	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureConnectedComponents	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureCount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureFilterValue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureNesting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureProjection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureSetOperation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureSignature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureSubelements	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.SummationHelper	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureValuesetOperation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricProcedureCache	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.SetProcedureCache	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.RuleProcedureCache	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.Reference	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.Rule	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.ProcedureCache.T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.ProcedureCache.ProcedureInfo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.ProcedureCache	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.MetricTools	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.SetProcedure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.RuleProcedure	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.RuleProcedureCycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.RuleProcedureSet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.RuleProcedureViolation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.SetProcedureCompare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SDMetrics.com.sdmetrics.metrics.SetProcedureCompound	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
